repairer_name,number of connections
NSW SALVAGE ONLINE (DO NOT ALLOCATE),3585
NEWCASTLE TOTAL LOSS,422
MILPERRA SALVAGE CENTRE,257
"NSW NORTH - NEWCASTLE, GREAT LAKES & MAITLAND",126
ADAMS SMASH REPAIRS WEST GOSFORD,62
NSW SALVAGE ONLINE (PICKLES MILPERRA),42
WAGGA WAGGA TL,41
TAREE TILT TRAY TOWING,30
ORANGE TL,22
ADAMTHWAITE CRASH REPAIRS,20
NEW ENGLAND TL,18
TWIN LAKES TOWING AND RECOVERY,12
KOSMO SMASH REPAIRS,10
NSW METRO NORTH MOTOR ASSESSING - BLACKTOWN,10
MAHERS SMASH REPAIRS PTY LTD,10
D & Y SUPERFINISH SMASH REPAIRS,10
CANBERRA TOTAL LOSS,8
BF PANELS,6
"NSW NORTH - COFFS HARBOUR, NEW ENGLAND, NORTHERN RIVERS, TAMWORTH",6
WARRINGAH AUTOBODY REPAIRS,6
NORTHERN RIVERS PAINT PANEL AND REPAIR CENTRE,6
BOWERS REPAIRS PTY LTD,6
GREAT LAKES TL,6
COFFS HARBOUR TL,6
CRASHCORP NEWCASTLE,6
MGM PANEL BEATERS PTY LTD,6
NSW/ACT SOUTH - RIVERINA,4
MID NORTH COAST TOWING,4
SB SMASH REPAIRS,3
NATURELAND SMASH REPAIR,3
NSW RURAL MOTOR ASSESSING - WEST,2
BENNYS GRAFTON SMASH REPAIRS,2
BOWRAL BODY SHOP,2
GRAEME HULL SMASH REPAIRS WAGGA,2
WARNERS BAY PAINT AND PANEL PTY LTD,2
A AND J AUTO BODY REPAIRS HUNTER VALLEY,2
Q WEST COLLISION CENTRE,2
CENTRAL COAST TL,2
SHIPTON SMASH REPAIRS,2
CLASSIC MOTORCYCLE RESTORATION AUSTRALIA,2
AUTO PANEL REPAIRS WAGGA WAGGA,2
TRANS PACIFIC AUTO BODY REPAIRS,2
MURWILLUMBAH COLLISION REPAIR CENTRE,2
ATA FLEET REPAIRER GROUP,2
SNOWY SMASH REPAIRS,2
HUNTER VALLEY TL,2
NSW/ACT SOUTH - SUTHERLAND,2
WELCHS HIGHWAY SMASH,2
PORT CITY HARLEY DAVIDSON,2
